Date,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19
1751,4.0497,2.8284,2.7093,1.408,2.995,2.8082,2.678,3.1892,3.2526,2.3606,2.4683,2.7146,3.4138,3.3367,2.2167,2.3283,3.4421,3.9448,2.9814,2.5899
1752,3.5246,3.043,2.0166,2.6116,3.4907,3.0221,2.9708,4.0749,4.3211,2.9778,4.1597,1.8039,1.7706,3.5202,2.8428,3.3474,3.3099,2.9464,3.4093,3.0904
1753,3.9588,4.0222,2.0463,2.7737,3.6975,2.1727,2.4456,2.2215,2.1828,2.3195,3.1061,3.7614,3.9168,3.0071,1.8177,2.966,2.7965,3.2114,2.923,1.9223
1754,3.0778,3.0343,3.1673,2.8476,2.1002,3.5202,2.4572,3.134,3.3447,3.7093,2.8693,2.8167,2.86,1.8908,2.5471,2.3974,2.3101,3.1006,2.8131,3.9578
1755,3.6805,3.3566,3.0194,2.6143,3.1768,2.3722,3.3927,3.0356,3.3293,2.6881,2.5189,2.4519,3.664,2.8686,2.8618,1.9262,2.9657,0.9238,3.8173,2.855
1756,3.7201,2.7089,3.6381,2.241,2.9667,3.6403,2.8435,3.6915,1.7836,3.0163,3.0968,2.9247,2.095,3.3997,1.6018,3.5691,3.175,3.5923,2.8477,2.3334
1757,3.037,3.6104,2.5405,3.1646,3.341,2.9252,2.9242,3.3932,3.3991,3.0014,3.0549,2.7292,3.3958,2.9897,2.1218,2.8734,3.4269,3.2261,2.524,3.4948
1758,1.7644,2.7485,3.2518,4.9888,2.5407,2.7768,3.3355,3.194,2.2057,3.5683,2.2104,2.8401,3.7949,2.2087,2.7934,4.0021,2.8436,2.3708,2.6507,3.5019
1759,2.898,2.4885,2.2714,3.36,1.909,3.5026,2.6053,2.2459,2.4637,4.421,3.8943,2.8217,3.6465,4.0825,2.4616,2.8191,3.5565,3.2397,2.7667,3.9897
1760,2.9261,3.2203,2.4712,2.6935,3.5456,3.0807,2.2162,1.8776,4.3665,3.243,2.0032,3.069,3.3899,3.05,1.8324,4.0872,3.3481,2.8636,3.4016,2.8489
1761,2.5649,3.775,2.3913,3.3116,3.7849,2.4288,4.2812,3.5309,1.6791,3.8534,4.1671,2.8564,2.8974,3.2387,1.8676,3.1078,3.5778,2.6819,3.6856,4.3459
1762,2.981,3.5578,3.0691,2.5096,3.6341,2.7561,3.1762,3.8932,3.7803,2.5724,2.9431,3.8195,3.6043,3.3372,3.5442,1.7072,2.8291,2.1382,2.6194,2.7706
1763,2.8741,1.2433,3.2972,3.0089,3.2588,2.3588,2.6425,3.8484,2.8826,2.9354,2.5061,3.7052,1.9461,2.6282,3.2084,2.9246,3.4853,3.2091,3.8288,2.8194
1764,3.6939,2.3796,2.2885,2.9292,3.2686,3.5447,3.3856,3.3677,2.43,3.2214,2.603,3.2456,3.5388,2.5876,2.848,4.4829,2.5367,2.6884,2.3327,2.1232
1765,3.8317,2.4884,3.4831,3.1182,3.0073,3.4179,2.9182,3.8677,2.8715,1.6788,3.8732,3.8049,3.3046,3.8412,3.4164,2.4933,1.7557,2.3647,2.8234,3.3124
1766,2.6447,3.6491,2.5591,2.5657,4.519,2.957,2.8769,3.2787,2.3967,3.2125,2.2929,2.7164,2.6574,3.8118,3.3821,4.111,4.0089,2.5908,3.3197,2.7424
1767,2.9424,3.4995,3.046,3.8582,3.1702,2.583,3.2216,3.0949,2.6348,2.8632,2.279,2.4996,3.3935,1.8924,3.1731,3.0135,2.6503,3.8535,3.4226,2.6478
1768,3.7863,3.7331,3.2895,4.0763,3.1536,2.8974,3.8608,2.619,3.5518,3.7443,3.2055,3.1365,3.3668,3.2229,2.653,0.9076,2.7649,2.1879,3.668,2.8001
1769,3.2342,2.9485,4.2638,3.0302,3.556,2.2857,2.1562,3.1238,4.015,3.2477,2.81,3.2478,3.3764,3.2747,3.0166,2.3633,2.3125,2.6903,2.9231,2.2068
1770,2.9997,2.6297,3.4718,2.9627,2.2618,2.3959,2.9027,4.3084,3.6587,3.8349,3.5693,3.8333,3.9081,2.3358,3.3691,3.381,3.3004,3.2544,1.4845,3.112
1771,2.9653,4.3211,5.1359,4.759,3.2206,3.2158,3.8679,3.8984,4.614,3.7628,4.921,3.5982,4.8519,2.8639,3.5823,4.0559,4.6879,4.4463,3.3338,2.9857
1772,3.7376,2.817,3.5331,3.9382,4.4422,4.4739,5.3949,3.9465,4.8017,4.2205,3.2154,4.2586,4.2847,4.5447,4.4005,4.1102,3.289,3.7589,4.2344,4.5235
1773,2.6205,5.2859,4.441,4.2561,4.7057,3.5728,3.9535,4.8321,3.1227,2.9491,2.6884,4.6607,3.1913,3.7573,3.633,4.5121,4.3223,3.3736,5.1641,4.376
1774,3.4034,4.1527,3.9507,5.5221,4.6054,4.0745,4.517,3.8825,4.2714,4.5365,4.4397,5.2031,4.5194,3.5,4.285,3.161,5.6977,2.5603,3.9644,4.4719
1775,2.7823,5.1217,4.407,5.4559,2.657,4.1173,5.1861,4.9843,4.529,4.3156,4.5371,4.8342,5.4743,2.5878,3.19,3.542,4.177,4.3263,3.7246,3.9504
1776,2.9746,4.6184,3.0057,3.1896,4.415,4.6849,5.4621,3.9309,4.7012,2.5104,4.4617,4.6568,4.7475,3.5836,5.1255,5.2961,3.9953,4.0349,3.7176,3.7483
1777,3.7854,4.8188,5.5374,2.7874,4.7781,4.222,3.9514,5.1549,4.7034,3.6492,5.0395,3.8625,4.0071,2.9487,4.049,4.5001,3.7495,4.0397,5.0496,3.8943
1778,4.0895,4.3381,3.8606,4.0753,3.3572,4.3513,3.3162,3.6669,3.6092,6.1025,4.1494,4.8371,3.0494,4.5176,3.8185,4.8033,3.7404,3.1321,4.6691,4.0903
1779,2.8386,3.8552,5.552,5.0739,5.3482,4.1171,4.3845,3.7603,5.6953,3.6583,2.9318,3.6989,4.9221,3.6452,4.224,2.9124,3.5314,2.9974,3.1421,3.8402
1780,2.9271,3.8884,4.3278,3.0194,3.3773,4.8635,3.4056,4.3697,3.1594,2.4711,4.3332,4.5328,4.2137,3.9818,5.1946,3.7733,3.3711,4.215,4.8581,4.2801
1781,2.1852,4.9659,5.2889,4.7883,3.1603,4.8179,5.7755,5.1302,3.5284,4.9115,6.5964,6.1337,6.372,4.8294,5.6564,4.8851,4.8291,3.8516,4.9475,5.9564
1782,4.9375,4.5283,4.963,3.9374,5.9603,6.2395,5.6448,4.4537,3.6082,6.977,2.9801,3.7295,5.291,5.4559,3.7683,5.4142,3.5408,5.6631,5.3601,4.9506
1783,4.9257,5.203,4.0197,5.3016,6.1007,5.3906,5.7118,5.0116,5.4054,5.0593,4.0855,4.8718,5.6944,5.2995,4.8453,4.0965,5.4838,4.4434,4.7614,5.6041
1784,4.1412,3.6382,4.6521,5.2826,4.6373,6.0557,4.345,4.3356,5.2531,6.9644,5.7952,6.8189,4.5697,6.1034,5.4966,7.4814,4.6729,5.2928,4.2353,3.9373
1785,6.3444,4.7741,4.4995,6.341,4.4448,5.5337,4.279,3.8311,6.4668,5.3037,5.9672,5.8864,5.0352,5.4393,4.4805,4.4665,5.3291,2.8936,4.8799,3.9469
1786,5.9083,4.7339,4.6526,4.3661,6.0517,5.2831,7.0115,5.3769,5.2255,4.0411,4.0045,5.743,4.7611,6.0984,5.6751,4.4749,4.6495,6.1415,5.9792,5.9588
1787,4.6449,6.848,3.7356,5.1779,3.8514,5.5153,4.4197,5.0058,4.3953,5.8335,6.2083,5.6015,5.823,5.38,1.9723,3.9276,5.2673,4.541,3.5117,2.9556
1788,3.3591,5.6728,6.1094,4.8879,3.9356,3.9186,5.7932,4.816,5.7106,4.2434,3.7565,7.7674,4.0242,5.7555,6.106,5.0082,5.3043,5.4228,6.8232,5.0367
1789,3.836,5.2905,3.923,4.8831,5.0572,5.5004,5.1345,5.2288,4.9647,4.1455,5.9089,5.0568,4.2489,3.6993,5.1209,6.0017,5.2077,3.7359,4.5367,3.9407
1790,3.5294,4.9847,5.5963,4.5339,3.2901,4.0134,4.8043,4.6373,4.3845,3.761,6.5728,5.0107,5.2886,5.064,3.8375,6.2253,4.4135,4.7287,4.3106,3.7146
1791,5.5298,3.03,6.8374,6.0006,8.0895,7.0549,5.5161,6.6431,6.9324,4.9958,5.166,6.0216,3.4622,3.5432,6.062,5.6768,5.3157,8.6473,6.2078,7.3827
1792,6.9681,6.9259,7.0483,3.6125,6.1903,6.5599,7.1748,5.3536,4.487,4.1799,4.97,4.1565,5.8553,7.1946,4.7591,5.1201,5.2283,4.676,7.2827,4.7156
1793,6.3992,5.8293,7.9216,7.4961,6.7165,6.2478,6.9699,6.1946,8.1143,4.4742,5.7261,5.8486,6.325,5.1722,3.8525,5.7126,7.7904,5.3808,6.7047,6.8296
1794,8.1802,5.7044,5.0298,5.4856,4.0313,5.4236,6.2484,5.2323,8.0597,4.8205,7.3738,6.564,7.9484,6.4033,3.7152,4.4889,6.1911,4.9119,7.4182,3.976
1795,6.9588,4.4913,6.2473,5.514,6.6951,6.5839,4.9203,5.2852,8.0066,6.9696,6.9906,7.1559,6.342,4.1934,5.4695,5.7197,6.1033,3.4117,7.7707,5.1977
1796,6.972,8.6523,5.2674,2.6211,6.3012,4.8871,5.5899,5.3194,6.5374,6.0482,4.9193,5.4944,4.9738,5.5688,5.7048,6.9208,4.2275,7.4119,4.6428,6.5242
1797,5.1275,6.9358,6.7825,4.1076,8.7406,4.8823,5.3254,8.0919,5.2073,7.2065,6.1938,6.1648,5.5777,6.2909,6.9041,7.4137,5.7938,8.2454,6.8217,7.8571
