Date,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,Subject_21,Subject_22,Subject_23,Subject_24,Subject_25,Subject_26,Subject_27,Subject_28,Subject_29,Subject_30,Subject_31,Subject_32,Subject_33,Subject_34,Subject_35,Subject_36,Subject_37,Subject_38,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57,Subject_58,Subject_59,Subject_60,Subject_61,Subject_62,Subject_63,Subject_64,Subject_65,Subject_66,Subject_67,Subject_68,Subject_69,Subject_70,Subject_71,Subject_72,Subject_73,Subject_74,Subject_75,Subject_76,Subject_77,Subject_78,Subject_79,Subject_80,Subject_81,Subject_82,Subject_83,Subject_84,Subject_85,Subject_86,Subject_87,Subject_88,Subject_89,Subject_90,Subject_91,Subject_92,Subject_93,Subject_94,Subject_95,Subject_96,Subject_97,Subject_98,Subject_99
1751.0000,4.0497,2.8284,2.7093,1.4080,2.9950,2.8082,2.6780,3.1892,3.2526,2.3606,2.4683,2.7146,3.4138,3.3367,2.2167,2.3283,3.4421,3.9448,2.9814,2.5899,3.6574,2.8143,3.4355,3.9294,3.3780,3.0441,3.4394,2.6145,2.8931,2.6556,2.8774,2.7081,2.8885,2.7717,3.0534,3.0382,3.1778,3.8417,2.0719,3.7774,2.8576,2.2606,2.8965,3.0551,3.6405,2.3630,3.1304,3.0707,1.9895,2.2885,3.3601,3.4173,3.6526,3.3203,3.2371,3.0737,3.7255,2.4942,2.9149,3.2312,2.0535,3.7866,2.5243,2.9570,4.2940,2.5023,2.6824,3.9370,2.3519,2.7408,3.3097,3.2732,3.3562,3.2223,3.8072,3.6096,3.3572,2.5903,2.5719,1.8550,3.4124,1.9062,3.5275,4.1078,2.3630,2.5893,2.7143,3.4982,2.4820,2.9217,2.6861,2.8492,3.7748,2.4215,3.0431,3.1630,3.5152,2.2416,3.6689,3.2609
1752.0000,3.5246,3.0430,2.0166,2.6116,3.4907,3.0221,2.9708,4.0749,4.3211,2.9778,4.1597,1.8039,1.7706,3.5202,2.8428,3.3474,3.3099,2.9464,3.4093,3.0904,2.0807,3.1313,3.1114,4.0997,2.3227,3.0102,2.7453,2.9203,3.9955,3.2272,2.7213,3.0923,3.4597,2.4036,2.8414,3.9253,3.5137,2.9731,2.7135,2.9076,2.0694,3.5658,3.2047,3.0830,2.2215,2.5710,3.3087,3.1546,2.7020,3.3030,3.5633,2.5950,2.6815,2.4781,2.3068,3.4780,3.3060,3.2032,2.2967,2.3724,2.9594,2.7521,3.0720,2.5806,3.3924,4.0797,3.9280,3.9659,3.0426,3.5529,2.7739,3.5520,2.7729,2.7066,2.6134,3.4195,3.1652,3.1118,2.3161,3.0851,2.1356,3.8859,2.9211,3.1167,2.9369,2.0496,2.1769,2.9830,3.8955,2.3309,2.5768,2.9717,1.9876,1.9816,2.7531,2.9728,2.7653,3.9205,2.9015,3.2162
1753.0000,3.9588,4.0222,2.0463,2.7737,3.6975,2.1727,2.4456,2.2215,2.1828,2.3195,3.1061,3.7614,3.9168,3.0071,1.8177,2.9660,2.7965,3.2114,2.9230,1.9223,3.2480,1.7593,2.5859,3.1871,3.2102,3.9428,1.5826,3.2040,3.4136,2.8037,3.3828,2.3388,3.3942,3.3229,2.4110,2.6000,2.8861,2.6063,3.6266,3.1051,3.7888,3.7051,3.0365,2.8841,2.4320,2.5172,2.5193,3.2087,2.4698,3.0472,3.1156,2.7023,2.8883,3.8672,3.9672,2.5304,2.8832,2.7767,2.8345,3.9211,3.4119,3.7559,4.0661,2.7358,2.8877,3.0242,3.6156,2.9454,3.3875,3.7010,3.6979,3.2680,2.5268,2.0675,3.6730,3.2740,2.4375,2.6970,2.7307,1.9950,3.1509,2.5278,2.8234,3.4438,2.9426,3.3258,3.2534,3.0190,3.0293,4.1170,2.8976,3.9766,2.4516,3.4376,3.1025,2.5624,1.4115,3.9570,2.3069,2.4222
1754.0000,3.0778,3.0343,3.1673,2.8476,2.1002,3.5202,2.4572,3.1340,3.3447,3.7093,2.8693,2.8167,2.8600,1.8908,2.5471,2.3974,2.3101,3.1006,2.8131,3.9578,3.8934,1.8705,3.0735,2.3993,3.3337,3.0949,3.5583,3.1865,3.4567,2.8209,1.4951,2.2890,2.4870,2.7059,2.3927,3.9799,2.8991,3.7776,2.7970,3.9926,2.2798,3.3598,2.2020,3.2652,3.9520,2.0196,2.4768,3.1471,2.8884,2.1786,3.6940,3.0314,3.7761,3.1912,2.3080,2.7113,3.8293,2.1685,2.7205,3.3604,3.6090,3.4964,2.1155,4.2518,2.9012,3.0073,2.9982,2.8608,2.4197,2.8038,3.7934,2.1827,1.5406,3.3210,3.2026,3.4367,4.0363,2.5648,3.1063,3.3015,3.7390,3.6156,2.4942,2.1735,2.8364,2.0323,3.6657,2.7631,2.7863,2.4660,3.9141,3.1727,2.7526,3.3669,2.9487,3.3561,3.7913,2.8411,3.3073,3.2867
1755.0000,3.6805,3.3566,3.0194,2.6143,3.1768,2.3722,3.3927,3.0356,3.3293,2.6881,2.5189,2.4519,3.6640,2.8686,2.8618,1.9262,2.9657,0.9238,3.8173,2.8550,3.0126,2.1428,2.3425,3.3628,2.8749,3.2575,3.7625,3.3979,1.8606,2.4093,2.3186,2.4540,1.7519,1.7690,2.5537,2.6412,3.3098,2.8051,3.8529,1.9039,2.1650,3.1496,2.8356,2.4061,3.4607,3.6521,3.7852,2.7596,2.9945,3.1354,3.0332,3.6110,2.7041,3.2208,1.6724,3.4517,3.9825,2.9827,3.6210,2.0015,2.7989,2.0736,3.1902,3.3125,2.1764,2.4908,2.6477,4.4525,2.9551,3.0712,3.2155,3.1777,2.8556,2.2004,2.5914,3.9798,3.1529,2.7757,2.1873,2.9656,3.0181,2.6075,3.5343,2.6458,2.8981,3.5048,3.1338,3.6729,2.8617,2.7398,3.2802,3.1282,3.7108,3.2432,2.9838,3.2693,3.3928,2.3272,2.9139,2.7993
1756.0000,3.7201,2.7089,3.6381,2.2410,2.9667,3.6403,2.8435,3.6915,1.7836,3.0163,3.0968,2.9247,2.0950,3.3997,1.6018,3.5691,3.1750,3.5923,2.8477,2.3334,2.6905,2.7217,3.3592,2.8134,3.2492,3.2911,3.8535,1.8088,2.7596,3.4155,3.4173,2.6683,2.8465,2.9497,3.0851,2.6694,2.6222,2.3377,2.7809,3.8411,2.4409,3.5879,4.1740,3.1342,4.4278,2.9302,4.0152,2.9884,2.2907,3.2266,4.1502,2.6673,3.3089,2.4244,2.4920,3.2960,2.9130,3.3632,3.7882,2.3184,2.6140,3.0537,4.4172,2.8342,2.7404,3.2934,4.2965,2.6850,2.8518,3.0615,3.4911,4.3473,2.2921,2.0438,3.1364,3.3643,1.7065,2.6780,3.6232,2.7326,3.3397,3.1550,3.4419,3.3126,3.2099,3.8017,2.7186,3.1303,3.7345,2.7219,2.8364,2.6079,2.4969,4.2744,3.3437,4.1880,3.5019,3.1092,2.8944,3.2219
1757.0000,3.0370,3.6104,2.5405,3.1646,3.3410,2.9252,2.9242,3.3932,3.3991,3.0014,3.0549,2.7292,3.3958,2.9897,2.1218,2.8734,3.4269,3.2261,2.5240,3.4948,3.4157,3.4165,3.9645,2.8499,3.4086,2.8923,3.6361,3.7389,3.3351,3.4871,2.5536,3.4118,2.3242,4.3314,3.7250,2.1146,1.4342,3.8064,2.5118,3.3484,2.2424,3.0615,2.6302,3.3747,2.8146,3.9051,2.5588,3.7799,3.0019,3.3234,2.0554,1.9587,3.6393,2.2724,2.8042,2.8153,2.4664,3.1278,2.1606,2.2929,3.5588,2.5230,3.4495,3.4017,3.9136,3.2762,1.9045,2.6133,2.7557,3.7389,3.2091,2.7090,3.2625,2.7867,3.3298,3.0922,3.6654,3.2013,3.5974,2.9936,3.4273,2.9090,3.3862,3.1344,2.9256,2.7483,2.8358,3.2841,1.6249,3.7444,1.5795,2.8862,2.8023,3.4436,3.1415,2.9741,3.0503,3.5677,4.4046,3.2262
1758.0000,1.7644,2.7485,3.2518,4.9888,2.5407,2.7768,3.3355,3.1940,2.2057,3.5683,2.2104,2.8401,3.7949,2.2087,2.7934,4.0021,2.8436,2.3708,2.6507,3.5019,2.0585,2.6199,2.1246,2.3049,3.7724,2.9493,2.7361,3.2551,2.5705,2.2765,3.6882,3.5268,2.4910,3.4226,3.8761,3.2946,3.3001,2.2534,2.9191,1.8748,3.6690,2.8952,3.7955,2.5331,3.5259,2.0438,2.7545,3.3279,3.2134,2.9632,2.0053,3.7969,3.3973,3.6868,3.6790,2.7717,3.2356,4.5977,2.4927,3.2450,2.6600,4.0571,3.1039,2.3695,2.6326,2.1461,1.6176,1.3548,2.5572,2.3126,3.0885,2.4965,3.1342,4.0729,2.2838,2.2623,3.5947,4.4218,2.4674,1.9719,2.8211,2.7516,3.4293,2.3524,2.8378,2.8084,2.0387,2.0427,3.2684,3.3294,2.5133,3.9485,3.5659,3.2794,3.3684,3.2100,3.4368,3.5236,3.0390,1.7469
1759.0000,2.8980,2.4885,2.2714,3.3600,1.9090,3.5026,2.6053,2.2459,2.4637,4.4210,3.8943,2.8217,3.6465,4.0825,2.4616,2.8191,3.5565,3.2397,2.7667,3.9897,3.3060,3.4792,4.4589,3.2949,4.6158,3.1826,2.8968,3.0746,3.5304,3.3974,3.2237,2.0852,2.3280,2.8317,3.4409,3.8807,1.5222,2.9021,2.7114,2.9250,3.1207,2.4681,2.1791,3.6118,3.4520,2.7345,2.9159,2.5657,2.1257,3.3878,2.5802,2.3021,2.6201,3.9945,3.2610,3.1338,3.0450,3.5181,3.4383,2.1886,2.8412,2.5895,3.1189,2.9483,1.7608,3.6906,3.1453,1.9207,3.6845,3.0584,3.2716,2.9994,3.0791,2.6694,1.9576,2.5974,3.0858,2.9978,3.3720,2.9137,1.5962,3.4183,2.4729,2.1449,2.7691,2.1291,3.1829,2.3960,4.1474,2.8069,2.6184,2.5580,1.6368,2.4250,2.4925,2.7536,1.5987,2.9808,3.7438,2.6956
1760.0000,2.9261,3.2203,2.4712,2.6935,3.5456,3.0807,2.2162,1.8776,4.3665,3.2430,2.0032,3.0690,3.3899,3.0500,1.8324,4.0872,3.3481,2.8636,3.4016,2.8489,2.7825,3.5325,1.7790,3.6026,3.2352,3.4573,3.5524,3.9470,3.8790,3.5399,2.7651,3.4239,2.7117,2.4218,3.2862,3.2278,3.7379,1.7037,3.3778,3.4236,3.0838,3.9210,2.4834,3.2242,2.7915,3.0108,2.4285,2.9359,3.4323,3.0951,3.2330,2.5549,3.9913,2.5978,3.0354,3.3823,2.9129,3.4860,3.1423,4.0631,3.3603,3.2673,2.5328,3.3066,3.6363,3.2773,2.4572,2.6903,2.8813,3.0339,2.1788,4.1594,2.9593,3.0884,2.7504,2.9923,4.1831,2.4408,2.7007,2.3864,2.6802,3.9422,2.6312,2.7355,1.9152,2.7933,3.1492,2.7153,2.7701,3.4957,3.3312,2.9492,2.5380,2.1007,4.0293,2.0760,3.4030,2.8930,2.5688,3.5473
